,basic_date,stockname,stock_code,open_value,high_value,low_value,close_value,volume_value,cv_diff_value,cv_diff_rate,cv_maN_value,cv_maN_rate,ud_Nd,cv5d_diff_rate
0,20170116,GS글로벌,1250,3555,3635,3520,3575,1261893,,,,,,
1,20170117,GS글로벌,1250,3585,3610,3530,3600,695598,25.0,0.006993006993006993,,,0.0,
2,20170118,GS글로벌,1250,3595,3610,3475,3570,954509,-30.0,-0.008333333333333333,,,0.0,-0.032167832167832165
3,20170119,GS글로벌,1250,3585,3590,3460,3460,1161534,-110.0,-0.03081232492997199,,,0.0,0.029166666666666667
4,20170120,GS글로벌,1250,3465,3810,3360,3705,3692296,245.0,0.0708092485549133,3582.0,,0.0,0.012605042016806723
5,20170123,GS글로벌,1250,3735,3760,3610,3615,1169071,-90.0,-0.024291497975708502,3590.0,0.002233389168062535,0.0,0.008670520231213872
6,20170124,GS글로벌,1250,3590,3600,3435,3490,1306220,-125.0,-0.034578146611341634,3568.0,-0.006128133704735376,-1.0,-0.10526315789473684
7,20170125,GS글로벌,1250,3480,3520,3280,3315,2012575,-175.0,-0.050143266475644696,3517.0,-0.01429372197309417,-1.0,-0.06224066390041494
8,20170126,GS글로벌,1250,3320,3485,3320,3390,1004712,75.0,0.02262443438914027,3503.0,-0.00398066533977822,0.0,-0.004297994269340974
9,20170131,GS글로벌,1250,3370,3480,3320,3475,759993,85.0,0.025073746312684365,3457.0,-0.013131601484441906,1.0,0.03469079939668175
10,20170201,GS글로벌,1250,3435,3470,3370,3430,804454,-45.0,-0.012949640287769784,3420.0,-0.010702921608330923,0.0,-0.05752212389380531
11,20170202,GS글로벌,1250,3395,3400,3140,3195,2033122,-235.0,-0.06851311953352769,3361.0,-0.017251461988304094,-1.0,-0.08201438848920864
12,20170203,GS글로벌,1250,3175,3310,3175,3190,1077089,-5.0,-0.001564945226917058,3336.0,-0.007438262421898245,-1.0,-0.05830903790087463
13,20170206,GS글로벌,1250,3190,3275,3165,3230,514595,40.0,0.012539184952978056,3304.0,-0.009592326139088728,0.0,0.006259780907668232
14,20170207,GS글로벌,1250,3210,3280,3185,3215,318248,-15.0,-0.0046439628482972135,3252.0,-0.015738498789346248,0.0,0.029780564263322883
15,20170208,GS글로벌,1250,3230,3305,3175,3285,626672,70.0,0.02177293934681182,3223.0,-0.00891758917589176,0.0,0.02321981424148607
16,20170209,GS글로벌,1250,3350,3360,3270,3305,665079,20.0,0.0060882800608828,3245.0,0.006825938566552901,1.0,0.02177293934681182
17,20170210,GS글로벌,1250,3320,3320,3280,3285,358398,-20.0,-0.006051437216338881,3264.0,0.005855161787365178,0.0,-0.0015220700152207
18,20170213,GS글로벌,1250,3270,3320,3230,3280,370926,-5.0,-0.0015220700152207,3274.0,0.0030637254901960784,-1.0,0.046898638426626324
19,20170214,GS글로벌,1250,3285,3460,3275,3460,1069771,180.0,0.054878048780487805,3323.0,0.014966401954795358,0.0,0.0410958904109589
20,20170215,GS글로벌,1250,3480,3515,3405,3420,810373,-40.0,-0.011560693641618497,3350.0,0.008125188083057478,0.0,0.038109756097560975
21,20170216,GS글로벌,1250,3450,3475,3390,3405,498864,-15.0,-0.0043859649122807015,3370.0,0.005970149253731343,0.0,-0.03757225433526012
22,20170217,GS글로벌,1250,3405,3405,3320,3330,644241,-75.0,-0.022026431718061675,3379.0,0.0026706231454005935,-1.0,-0.08625730994152046
23,20170220,GS글로벌,1250,3320,3320,3115,3125,2307465,-205.0,-0.06156156156156156,3348.0,-0.009174311926605505,-1.0,-0.07488986784140969
24,20170221,GS글로벌,1250,3130,3170,3070,3150,1190645,25.0,0.008,3286.0,-0.018518518518518517,0.0,-0.04354354354354354
25,20170222,GS글로벌,1250,3170,3195,3120,3185,500765,35.0,0.011111111111111112,3239.0,-0.014303104077906269,1.0,-0.0064
26,20170223,GS글로벌,1250,3185,3200,3105,3105,573912,-80.0,-0.02511773940345369,3179.0,-0.018524235875270145,0.0,-0.015873015873015872
27,20170224,GS글로벌,1250,3090,3150,3075,3100,356199,-5.0,-0.001610305958132045,3133.0,-0.014469959106637308,-1.0,-0.04709576138147567
28,20170227,GS글로벌,1250,3105,3135,3025,3035,589627,-65.0,-0.020967741935483872,3115.0,-0.005745292052345995,-1.0,-0.02254428341384863
29,20170228,GS글로벌,1250,3035,3100,3030,3035,337889,0.0,0.0,3092.0,-0.007383627608346709,0.0,0.0016129032258064516
30,20170302,GS글로벌,1250,3065,3135,3055,3105,368733,70.0,0.023064250411861616,3076.0,-0.00517464424320828,0.0,0.004942339373970346
31,20170303,GS글로벌,1250,3080,3110,3015,3050,395274,-55.0,-0.017713365539452495,3065.0,-0.003576072821846554,0.0,-0.008237232289950576
32,20170306,GS글로벌,1250,3030,3040,2970,3010,575522,-40.0,-0.013114754098360656,3047.0,-0.005872756933115824,0.0,0.001610305958132045
33,20170307,GS글로벌,1250,3010,3115,3010,3110,454444,100.0,0.03322259136212625,3062.0,0.004922874958976042,0.0,0.011475409836065573
34,20170308,GS글로벌,1250,3110,3125,3070,3085,170030,-25.0,-0.008038585209003215,3072.0,0.0032658393207054214,0.0,0.02823920265780731
35,20170309,GS글로벌,1250,3065,3160,3065,3095,302553,10.0,0.0032414910858995136,3070.0,-0.0006510416666666666,0.0,0.008038585209003215
36,20170310,GS글로벌,1250,3085,3180,3025,3135,529747,40.0,0.012924071082390954,3087.0,0.005537459283387622,0.0,0.01620745542949757
37,20170313,GS글로벌,1250,3115,3180,3110,3135,281072,0.0,0.0,3112.0,0.008098477486232589,0.0,0.006462035541195477
38,20170314,GS글로벌,1250,3135,3150,3105,3115,260232,-20.0,-0.006379585326953748,3113.0,0.00032133676092544985,0.0,0.009569377990430622
39,20170315,GS글로벌,1250,3115,3220,3110,3165,549523,50.0,0.016051364365971106,3129.0,0.00513973658849984,0.0,0.011164274322169059
40,20170316,GS글로벌,1250,3175,3205,3140,3170,291009,5.0,0.001579778830963665,3144.0,0.004793863854266539,0.0,0.009630818619582664
41,20170317,GS글로벌,1250,3165,3195,3145,3145,221582,-25.0,-0.007886435331230283,3146.0,0.0006361323155216285,0.0,-0.030015797788309637
42,20170320,GS글로벌,1250,3140,3140,3060,3070,369935,-75.0,-0.02384737678855326,3133.0,-0.004132231404958678,0.0,-0.017350157728706624
43,20170321,GS글로벌,1250,3070,3145,3050,3115,291591,45.0,0.014657980456026058,3133.0,0.0,0.0,-0.01589825119236884
44,20170322,GS글로벌,1250,3095,3140,3080,3095,185639,-20.0,-0.006420545746388443,3119.0,-0.004468560485157995,0.0,0.0
45,20170323,GS글로벌,1250,3090,3150,3060,3070,375138,-25.0,-0.008077544426494346,3099.0,-0.006412311638345623,-1.0,-0.008025682182985553
46,20170324,GS글로벌,1250,3070,3105,3065,3090,180073,20.0,0.006514657980456026,3088.0,-0.0035495321071313327,0.0,-0.0210016155088853
47,20170327,GS글로벌,1250,3055,3110,3025,3030,387634,-60.0,-0.019417475728155338,3080.0,-0.0025906735751295338,0.0,-0.006514657980456026
48,20170328,GS글로벌,1250,3010,3070,3010,3050,277280,20.0,0.006600660066006601,3067.0,-0.0042207792207792205,0.0,-0.014563106796116505
49,20170329,GS글로벌,1250,3080,3110,3030,3045,271481,-5.0,-0.001639344262295082,3057.0,-0.0032605151613955006,0.0,-0.009900990099009901
50,20170330,GS글로벌,1250,3040,3065,2995,3000,465015,-45.0,-0.014778325123152709,3043.0,-0.004579653254824992,0.0,0.03114754098360656
51,20170331,GS글로벌,1250,2995,3145,2995,3145,847880,145.0,0.04833333333333333,3054.0,0.003614853762734144,0.0,0.026272577996715927
52,20170403,GS글로벌,1250,3170,3170,3100,3125,335450,-20.0,-0.006359300476947536,3073.0,0.006221349050425672,0.0,0.03666666666666667
53,20170404,GS글로벌,1250,3100,3135,3080,3110,398447,-15.0,-0.0048,3085.0,0.0039049788480312398,-1.0,-0.022257551669316374
54,20170405,GS글로벌,1250,3120,3125,3065,3075,380606,-35.0,-0.011254019292604502,3091.0,0.0019448946515397082,-1.0,-0.0304
55,20170406,GS글로벌,1250,3100,3100,3020,3030,368170,-45.0,-0.014634146341463415,3097.0,0.0019411193788417987,-1.0,-0.02090032154340836
56,20170407,GS글로벌,1250,3045,3065,3020,3045,183599,15.0,0.0049504950495049506,3077.0,-0.006457862447529867,0.0,-0.04715447154471545
57,20170410,GS글로벌,1250,3040,3050,2900,2930,905957,-115.0,-0.03776683087027915,3038.0,-0.012674683132921676,0.0,-0.033003300330033
58,20170411,GS글로벌,1250,2930,2970,2880,2930,470573,0.0,0.0,3002.0,-0.01184990125082291,0.0,-0.029556650246305417
59,20170412,GS글로벌,1250,2930,2965,2930,2955,212644,25.0,0.008532423208191127,2978.0,-0.007994670219853431,0.0,0.013651877133105802
60,20170413,GS글로벌,1250,2950,3000,2940,2970,213849,15.0,0.005076142131979695,2966.0,-0.004029550033579583,1.0,-0.006825938566552901
61,20170414,GS글로벌,1250,2970,2975,2900,2910,298443,-60.0,-0.020202020202020204,2939.0,-0.009103169251517195,0.0,-0.011844331641285956
62,20170417,GS글로벌,1250,2905,2935,2905,2920,180534,10.0,0.003436426116838488,2937.0,-0.0006805035726437564,0.0,-0.016835016835016835
63,20170418,GS글로벌,1250,2925,2940,2895,2920,259970,0.0,0.0,2935.0,-0.0006809669731018045,0.0,0.024054982817869417
64,20170419,GS글로벌,1250,2920,2995,2910,2980,343212,60.0,0.02054794520547945,2940.0,0.0017035775127768314,0.0,0.015410958904109588
65,20170420,GS글로벌,1250,2980,2990,2950,2965,173423,-15.0,-0.0050335570469798654,2939.0,-0.0003401360544217687,0.0,0.017123287671232876
66,20170421,GS글로벌,1250,2970,3010,2955,2970,294692,5.0,0.0016863406408094434,2951.0,0.004083021435862538,0.0,-0.015100671140939598
67,20170424,GS글로벌,1250,2960,2995,2935,2935,228494,-35.0,-0.011784511784511785,2954.0,0.0010166045408336157,0.0,0.047217537942664416
68,20170425,GS글로벌,1250,3115,3450,3105,3105,10020432,170.0,0.05792163543441227,2991.0,0.012525389302640487,0.0,0.08585858585858586
69,20170426,GS글로벌,1250,3110,3260,3060,3225,2277818,120.0,0.03864734299516908,3040.0,0.016382480775660315,1.0,0.09710391822827939
70,20170427,GS글로벌,1250,3210,3260,3170,3220,979827,-5.0,-0.0015503875968992248,3091.0,0.016776315789473684,0.0,0.05314009661835749
71,20170428,GS글로벌,1250,3200,3320,3200,3270,1368271,50.0,0.015527950310559006,3151.0,0.019411193788417987,0.0,-0.0015503875968992248
72,20170502,GS글로벌,1250,3270,3290,3220,3220,608301,-50.0,-0.01529051987767584,3208.0,0.01808949539828626,0.0,0.018633540372670808
73,20170504,GS글로벌,1250,3200,3310,3190,3280,738190,60.0,0.018633540372670808,3243.0,0.010910224438902744,0.0,-0.0061162079510703364
74,20170508,GS글로벌,1250,3280,3300,3225,3250,490300,-30.0,-0.009146341463414634,3248.0,0.001541782300339192,0.0,0.009316770186335404
75,20170510,GS글로벌,1250,3255,3305,3230,3250,744589,0.0,0.0,3254.0,0.0018472906403940886,0.0,-0.013719512195121951
76,20170511,GS글로벌,1250,3240,3295,3235,3235,523188,-15.0,-0.004615384615384616,3247.0,-0.0021511985248924403,0.0,0.009230769230769232
77,20170512,GS글로벌,1250,3240,3285,3220,3280,432906,45.0,0.013910355486862442,3259.0,0.0036957191253464737,0.0,0.026153846153846153
78,20170515,GS글로벌,1250,3305,3395,3270,3335,1063936,55.0,0.01676829268292683,3270.0,0.0033752684872660325,0.0,0.023183925811437404
79,20170516,GS글로벌,1250,3355,3375,3285,3310,490265,-25.0,-0.0074962518740629685,3282.0,0.003669724770642202,0.0,-0.01524390243902439
80,20170517,GS글로벌,1250,3280,3325,3215,3230,643663,-80.0,-0.02416918429003021,3278.0,-0.001218769043266301,0.0,-0.019490254872563718
81,20170518,GS글로벌,1250,3180,3270,3175,3270,329876,40.0,0.01238390092879257,3285.0,0.0021354484441732766,0.0,-0.012084592145015106
82,20170519,GS글로벌,1250,3265,3295,3245,3270,303245,0.0,0.0,3283.0,-0.0006088280060882801,0.0,0.03869969040247678
83,20170522,GS글로벌,1250,3285,3365,3275,3355,753958,85.0,0.02599388379204893,3287.0,0.0012183978068839476,0.0,0.027522935779816515
84,20170523,GS글로벌,1250,3385,3385,3330,3360,524801,5.0,0.0014903129657228018,3297.0,0.0030422878004259203,1.0,0.019877675840978593
85,20170524,GS글로벌,1250,3385,3385,3330,3335,405093,-25.0,-0.00744047619047619,3318.0,0.006369426751592357,0.0,0.03278688524590164
86,20170525,GS글로벌,1250,3335,3495,3330,3465,1745473,130.0,0.038980509745127435,3357.0,0.011754068716094032,0.0,0.028273809523809524
87,20170526,GS글로벌,1250,3490,3545,3420,3455,1105267,-10.0,-0.002886002886002886,3394.0,0.011021745606196008,0.0,0.03298350824587706
88,20170529,GS글로벌,1250,3460,3510,3420,3445,583150,-10.0,-0.002894356005788712,3412.0,0.005303476723629935,-1.0,-0.007215007215007215
89,20170530,GS글로벌,1250,3450,3480,3405,3440,448070,-5.0,-0.001451378809869376,3428.0,0.004689331770222743,-1.0,0.004341534008683068
90,20170531,GS글로벌,1250,3445,3515,3405,3470,774535,30.0,0.00872093023255814,3455.0,0.007876312718786464,0.0,-0.011611030478955007
91,20170601,GS글로벌,1250,3470,3490,3360,3405,710103,-65.0,-0.018731988472622477,3443.0,-0.0034732272069464545,0.0,-0.00872093023255814
92,20170602,GS글로벌,1250,3405,3440,3380,3410,368310,5.0,0.0014684287812041115,3434.0,-0.00261399941911124,0.0,-0.02881844380403458
93,20170605,GS글로벌,1250,3410,3425,3350,3370,453333,-40.0,-0.011730205278592375,3419.0,-0.004368083867210251,0.0,-0.023494860499265784
94,20170607,GS글로벌,1250,3355,3375,3305,3325,540890,-45.0,-0.013353115727002967,3396.0,-0.006727113190991518,0.0,-0.016129032258064516
95,20170608,GS글로벌,1250,3330,3360,3305,3355,323273,30.0,0.009022556390977444,3373.0,-0.006772673733804476,0.0,-0.01483679525222552
96,20170609,GS글로벌,1250,3365,3370,3320,3320,259856,-35.0,-0.010432190760059613,3356.0,-0.005040023717758672,0.0,-0.02706766917293233
97,20170612,GS글로벌,1250,3290,3315,3220,3235,501077,-85.0,-0.025602409638554216,3321.0,-0.010429082240762813,-1.0,-0.010432190760059613
98,20170613,GS글로벌,1250,3250,3330,3245,3320,266138,85.0,0.02627511591962906,3311.0,-0.0030111412225233363,0.0,-0.007530120481927711
99,20170614,GS글로벌,1250,3335,3355,3280,3295,364619,-25.0,-0.007530120481927711,3305.0,-0.001812141347025068,0.0,0.01854714064914992
100,20170615,GS글로벌,1250,3310,3340,3250,3295,209742,0.0,0.0,3293.0,-0.003630862329803328,0.0,0.0030120481927710845
101,20170616,GS글로벌,1250,3295,3335,3255,3330,372292,35.0,0.010622154779969651,3295.0,0.0006073489219556636,0.0,0.03186646433990895
102,20170619,GS글로벌,1250,3375,3445,3335,3400,509065,70.0,0.021021021021021023,3328.0,0.010015174506828529,1.0,0.027314112291350532
103,20170620,GS글로벌,1250,3410,3455,3340,3385,538338,-15.0,-0.004411764705882353,3341.0,0.00390625,0.0,-0.010510510510510511
104,20170621,GS글로벌,1250,3385,3385,3280,3295,385551,-90.0,-0.026587887740029542,3341.0,0.0,-1.0,-0.047058823529411764
105,20170622,GS글로벌,1250,3295,3315,3220,3240,482130,-55.0,-0.01669195751138088,3330.0,-0.0032924274169410356,-1.0,-0.04431314623338257
106,20170623,GS글로벌,1250,3245,3275,3225,3235,188612,-5.0,-0.0015432098765432098,3311.0,-0.005705705705705706,-1.0,-0.05614567526555387
107,20170626,GS글로벌,1250,3245,3265,3095,3110,886444,-125.0,-0.03863987635239567,3253.0,-0.017517366354575657,-1.0,-0.032407407407407406
108,20170627,GS글로벌,1250,3130,3175,3125,3135,342227,25.0,0.008038585209003215,3203.0,-0.01537042729787888,0.0,-0.02936630602782071
109,20170628,GS글로벌,1250,3140,3165,3120,3140,190928,5.0,0.001594896331738437,3172.0,-0.00967842647517952,1.0,0.022508038585209004
110,20170629,GS글로벌,1250,3180,3185,3140,3180,230968,40.0,0.012738853503184714,3160.0,-0.0037831021437578815,1.0,0.003189792663476874
111,20170630,GS글로벌,1250,3170,3175,3135,3145,263703,-35.0,-0.0110062893081761,3142.0,-0.00569620253164557,0.0,0.011146496815286623
112,20170703,GS글로벌,1250,3145,3175,3135,3175,241596,30.0,0.009538950715421303,3155.0,0.004137492043284532,0.0,-0.007861635220125786
113,20170704,GS글로벌,1250,3175,3200,3145,3155,227553,-20.0,-0.006299212598425197,3159.0,0.0012678288431061807,0.0,-0.0047694753577106515
114,20170705,GS글로벌,1250,3155,3160,3125,3130,225052,-25.0,-0.00792393026941363,3157.0,-0.0006331117442228553,-1.0,-0.012598425196850394
115,20170706,GS글로벌,1250,3130,3150,3100,3135,164503,5.0,0.001597444089456869,3148.0,-0.0028508077288565093,0.0,-0.006339144215530904
116,20170707,GS글로벌,1250,3140,3155,3115,3135,133167,0.0,0.0,3146.0,-0.0006353240152477764,0.0,-0.009584664536741214
117,20170710,GS글로벌,1250,3140,3140,3080,3100,343492,-35.0,-0.011164274322169059,3131.0,-0.004767959313413859,0.0,-0.011164274322169059
118,20170711,GS글로벌,1250,3065,3135,3065,3100,171540,0.0,0.0,3120.0,-0.0035132545512615776,0.0,-0.001594896331738437
119,20170712,GS글로벌,1250,3095,3140,3095,3130,162159,30.0,0.00967741935483871,3120.0,0.0,0.0,0.02258064516129032
120,20170713,GS글로벌,1250,3125,3215,3110,3170,276731,40.0,0.012779552715654952,3127.0,0.0022435897435897434,1.0,0.012903225806451613
121,20170714,GS글로벌,1250,3200,3205,3135,3140,134529,-30.0,-0.00946372239747634,3128.0,0.0003197953309881676,0.0,0.003194888178913738
122,20170717,GS글로벌,1250,3145,3160,3115,3140,117132,0.0,0.0,3136.0,0.0025575447570332483,0.0,0.011041009463722398
123,20170718,GS글로벌,1250,3135,3230,3135,3205,364502,65.0,0.020700636942675158,3157.0,0.006696428571428571,0.0,0.025477707006369428
124,20170719,GS글로벌,1250,3205,3250,3205,3220,209278,15.0,0.0046801872074883,3175.0,0.005701615457713019,1.0,0.03343949044585987
125,20170720,GS글로벌,1250,3245,3260,3210,3245,155163,25.0,0.007763975155279503,3190.0,0.004724409448818898,1.0,0.0046801872074883
126,20170721,GS글로벌,1250,3250,3260,3200,3220,189415,-25.0,-0.007704160246533128,3206.0,0.005015673981191223,0.0,-0.003105590062111801
127,20170724,GS글로벌,1250,3200,3235,3180,3210,195318,-10.0,-0.003105590062111801,3220.0,0.004366812227074236,-1.0,-0.03389830508474576
128,20170725,GS글로벌,1250,3200,3220,3120,3135,262772,-75.0,-0.02336448598130841,3206.0,-0.004347826086956522,-1.0,-0.031055900621118012
129,20170726,GS글로벌,1250,3140,3165,3095,3120,196012,-15.0,-0.004784688995215311,3186.0,-0.006238303181534623,-1.0,-0.018691588785046728
130,20170727,GS글로벌,1250,3120,3170,3110,3150,162507,30.0,0.009615384615384616,3167.0,-0.005963590709353421,0.0,-0.006379585326953748
131,20170728,GS글로벌,1250,3155,3170,3100,3115,229559,-35.0,-0.011111111111111112,3146.0,-0.006630880959898958,0.0,-0.00641025641025641
132,20170731,GS글로벌,1250,3105,3125,3050,3100,262768,-15.0,-0.004815409309791332,3124.0,-0.006993006993006993,0.0,0.0031746031746031746
133,20170801,GS글로벌,1250,3070,3175,3070,3160,185243,60.0,0.01935483870967742,3129.0,0.0016005121638924455,0.0,0.011235955056179775
134,20170802,GS글로벌,1250,3185,3185,3135,3150,125923,-10.0,-0.0031645569620253164,3135.0,0.0019175455417066154,0.0,-0.008064516129032258
135,20170803,GS글로벌,1250,3160,3165,3045,3075,270000,-75.0,-0.023809523809523808,3120.0,-0.004784688995215311,-1.0,-0.03955696202531646
136,20170804,GS글로벌,1250,3080,3085,3025,3035,221320,-40.0,-0.013008130081300813,3104.0,-0.005128205128205128,-1.0,-0.03492063492063492
137,20170807,GS글로벌,1250,3040,3075,3015,3040,135259,5.0,0.0016474464579901153,3092.0,-0.003865979381443299,0.0,-0.011382113821138212
138,20170808,GS글로벌,1250,3045,3075,3000,3040,242692,0.0,0.0,3068.0,-0.007761966364812419,0.0,-0.006589785831960461
139,20170809,GS글로벌,1250,3025,3035,3005,3015,151271,-25.0,-0.008223684210526315,3041.0,-0.008800521512385919,0.0,-0.018092105263157895
140,20170810,GS글로벌,1250,3005,3020,2955,2985,303330,-30.0,-0.009950248756218905,3023.0,-0.00591910555738244,-1.0,-0.009868421052631578
141,20170811,GS글로벌,1250,2910,3090,2910,3010,710581,25.0,0.008375209380234505,3018.0,-0.0016539861065167053,0.0,0.04311774461028192
142,20170814,GS글로벌,1250,3025,3165,3025,3145,594289,135.0,0.044850498338870434,3039.0,0.006958250497017893,1.0,0.08207705192629816
143,20170816,GS글로벌,1250,3145,3255,3145,3230,769187,85.0,0.02702702702702703,3077.0,0.012504113195129977,1.0,0.09634551495016612
144,20170817,GS글로벌,1250,3230,3325,3210,3300,915820,70.0,0.021671826625386997,3134.0,0.018524536886577837,1.0,0.04769475357710652
145,20170818,GS글로벌,1250,3270,3305,3240,3295,510519,-5.0,-0.0015151515151515152,3196.0,0.019783024888321635,0.0,0.04643962848297214
146,20170821,GS글로벌,1250,3335,3405,3290,3380,1086597,85.0,0.025796661608497723,3270.0,0.023153942428035045,0.0,0.04696969696969697
147,20170822,GS글로벌,1250,3415,3480,3360,3455,1482792,75.0,0.022189349112426034,3332.0,0.018960244648318043,0.0,0.03338391502276176
148,20170823,GS글로벌,1250,3470,3485,3380,3405,1085054,-50.0,-0.01447178002894356,3367.0,0.01050420168067227,0.0,0.010355029585798817
149,20170824,GS글로벌,1250,3410,3480,3400,3415,829308,10.0,0.002936857562408223,3390.0,0.006831006831006831,0.0,0.015918958031837915
150,20170825,GS글로벌,1250,3420,3540,3415,3510,1339227,95.0,0.027818448023426062,3433.0,0.012684365781710914,1.0,0.03671071953010279
151,20170828,GS글로벌,1250,3555,3565,3485,3530,714576,20.0,0.005698005698005698,3463.0,0.00873871249635887,1.0,0.060029282576866766
152,20170829,GS글로벌,1250,3530,3625,3475,3620,938623,90.0,0.025495750708215296,3496.0,0.009529309846953509,1.0,-0.007122507122507123
153,20170830,GS글로벌,1250,3615,3635,3455,3485,1426310,-135.0,-0.03729281767955801,3512.0,0.004576659038901602,0.0,-0.0084985835694051
154,20170831,GS글로벌,1250,3515,3565,3465,3500,886909,15.0,0.00430416068866571,3529.0,0.004840546697038725,0.0,-0.04005524861878453
155,20170901,GS글로벌,1250,3535,3535,3415,3475,686048,-25.0,-0.007142857142857143,3522.0,-0.0019835647492207425,0.0,-0.028694404591104734
156,20170904,GS글로벌,1250,3370,3445,3370,3385,691052,-90.0,-0.025899280575539568,3493.0,-0.008233957978421351,-1.0,-0.03428571428571429
157,20170905,GS글로벌,1250,3400,3435,3325,3380,533223,-5.0,-0.0014771048744460858,3445.0,-0.013741769252791297,-1.0,-0.04028776978417266
158,20170906,GS글로벌,1250,3355,3410,3325,3335,451074,-45.0,-0.013313609467455622,3415.0,-0.008708272859216255,-1.0,-0.0103397341211226
159,20170907,GS글로벌,1250,3350,3365,3320,3350,247480,15.0,0.004497751124437781,3385.0,-0.008784773060029283,0.0,-0.028106508875739646
160,20170908,GS글로벌,1250,3375,3375,3250,3285,498986,-65.0,-0.019402985074626865,3347.0,-0.011225997045790252,0.0,-0.01649175412293853
161,20170911,GS글로벌,1250,3285,3325,3265,3280,319947,-5.0,-0.0015220700152207,3326.0,-0.00627427547057066,0.0,-0.008955223880597015
162,20170912,GS글로벌,1250,3280,3320,3260,3320,386376,40.0,0.012195121951219513,3314.0,-0.0036079374624173183,0.0,0.0121765601217656
163,20170913,GS글로벌,1250,3320,3395,3300,3325,441523,5.0,0.0015060240963855422,3312.0,-0.0006035003017501509,0.0,-0.012195121951219513
164,20170914,GS글로벌,1250,3325,3340,3240,3240,466069,-85.0,-0.02556390977443609,3290.0,-0.006642512077294686,0.0,-0.03313253012048193
165,20170915,GS글로벌,1250,3230,3265,3185,3210,454436,-30.0,-0.009259259259259259,3275.0,-0.004559270516717325,0.0,-0.022556390977443608
166,20170918,GS글로벌,1250,3220,3270,3210,3250,290884,40.0,0.012461059190031152,3269.0,-0.00183206106870229,0.0,-0.0030864197530864196
167,20170919,GS글로벌,1250,3280,3285,3210,3230,270255,-20.0,-0.006153846153846154,3251.0,-0.005506271030896299,0.0,-0.028037383177570093
168,20170920,GS글로벌,1250,3220,3235,3120,3120,510643,-110.0,-0.034055727554179564,3210.0,-0.012611504152568441,-1.0,-0.046153846153846156
169,20170921,GS글로벌,1250,3115,3145,3090,3100,290423,-20.0,-0.00641025641025641,3182.0,-0.008722741433021807,-1.0,-0.06811145510835913
